Table 1
Agent that provides to QBIC;Existing property in OpenBIS;New property in OpenBIS;OpenBIS object type;Metadata Level;Specific metadata;SRA Structured comment name;SRA Item;EGA metadata object;EGA item;EGA label;Definition;Expected value;OpenBIS type;json type;Value syntax;Example;Section;migs_eu;migs_ba;migs_pl;migs_vi;migs_org;me;mimarks_s;mimarks_c;misag;mimag;miuvig;ega;Plant;Virus;SarsCov;PathogenEnv;PathogenCl;Microbe;Metagenome;Invertebrate;Human;BetaLactamase
Submitting lab;Q_SECONDARY_NAME ?;;Q_EXPERIMENTAL_DESIGN;Experiment;;title;dataset title;Study;study_title;Dataset title;Short description that will identify the dataset on public pages. A clear and concise formula for the title would be like: {methodology} of {organism}: {sample info} e.g. RNA-Seq of mus musculus: adult female spleen;{methodology} of {organism}: {sample info};MULTILINE_VARCHAR;string;{text}:{text};RNA-Seq of mus musculus: adult female spleen;;M;M;M;M;M;M;M;M;M;M;M;M;-;-;-;-;-;-;-;-;-;-
Submitting Lab;Q_EXPERIMENTAL_DESIGN ?;Q_OMICS_TYPE;Q_EXPERIMENTAL_DESIGN;Experiment;;study_type;Type of study;Study;study_type;Type of study;Type of the study in a controlled vocabulary;enumeration;CONTROLLEDVOCABULARY;string;[Whole Genome Sequencing|Metagenomics|Transcriptome Analysis|Resequencing|Epigenetics|Synthetic Genomics|Forensic or Paleo-genomics|Gene Regulation Study|Cancer Genomics|Population Genomics|RNASeq|Exome Sequencing|Pooled Clone Sequencing|Other];What happens when we have multiomics?;;-;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-
Submitting Lab;too specific;;;;;submitted_to_insdc;submitted to insdc;;-;;Depending on the study (large-scale e.g. done with next generation sequencing technology, or small-scale) sequences have to be submitted to SRA (Sequence Read Archive), DRA (DDBJ Read Archive) or via the classical Webin/Sequin systems to Genbank, ENA and DDBJ. Although this field is mandatory, it is meant as a self-test field, therefore it is not necessary to include this field in contextual data submitted to databases;boolean;BOOLEAN;boolean;{boolean};yes;investigation;M;M;M;M;M;M;M;M;M;M;M;-;-;-;-;-;-;-;-;-;-;-
Submitting lab;Q_EXPERIMENTAL_DESIGN?;;;;;project_name;project name;;-;;Name of the project within which the sequencing was organized;;VARCHAR;string;{text};Forest soil metagenome;investigation;M;M;M;M;M;M;M;M;M;M;M;-;-;-;-;-;-;-;-;-;-;-
Submitting Lab;use Q_EXPERIMENTAL DESIGN DESCRIPTION?;;Q_EXPERIMENTAL_DESIGN;Experiment;;study_abstract;Abstract of the study;Study;study_abstract;Abstract of the study;Abstract of a study as it could appear in a publication;;MULTILINE_VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;M;-;-;-;-;-;-;-;-;-;-
Submitting Lab;;Q_PUBMED_ID?;Q_EXPERIMENTAL_DESIGN;Experiment;;pubMedIds;PubMed IDs;Study;pubMedIds;PubMed IDs;PUBMED IDs of papers published for the project;string;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Submitting Lab;Q_SECONDARY_NAME;;Q_NGS_MEASUREMENT;Experiment;;alias;Experiment alias;Experiment;alias;Experiment alias;Unique name for an experiment;;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Submitting Lab;;Q_TITLE;Q_NGS_MEASUREMENT;Experiment;;title;Experiment title;Experiment;title;Experiment title;Title of the experiment;;VARCHAR;string;;;;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Submitting lab;Q_SECONDARY_NAME;;Q_TEST_SAMPLE;Sample;;sample_name;sample name;Sample;alias;;Run;;VARCHAR;string;{text};;;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
Submitting lab;;Q_TAXONOMIC_TYPE;Q_BIOLOGICAL_ENTITY;Sample;;investigation_type;investigation type;;-;;Nucleic Acid Sequence Report is the root element of all MIGS/MIMS compliant reports as standardized by Genomic Standards Consortium. This field is either eukaryote,bacteria,virus,plasmid,organelle, metagenome,mimarks-survey, mimarks-specimen, metatranscriptome, single amplified genome, metagenome-assembled genome, or uncultivated viral genome;eukaryote, bacteria_archaea, plasmid, virus, organelle, metagenome,mimarks-survey, mimarks-specimen, metatranscriptome, single amplified genome, metagenome-assembled genome, or uncultivated viral genomes;VARCHAR;string;[eukaryote|bacteria_archaea|plasmid|virus|organelle|metagenome|metatranscriptome|mimarks-survey|mimarks-specimen|misag|mimag|miuvig];metagenome;investigation;M;M;M;M;M;M;M;M;M;M;M;-;;;;;;;;;;
